ngram_decoded,count,p_ngram,pmi,entropy_reduction,internal_entropy,frequency_norm,pmi_norm,entropy_reduction_norm,internal_entropy_norm,composite_score
282 21 264 12 268 263 51 13,8765,0.00007370526650575625,26.200314365545434,4.157388649357695,0.9699340140233677,0.2447159310511337,0.38733407635178607,0.8108303148248187,0.2439924158725187,0.47840197442029425
262 263 51 13 277 21 264,10206,0.00008582269822678247,21.39224306764275,4.480211971629111,0.6471106917519511,0.2602754260763406,0.33186829484010233,0.8737916971027462,0.16278437371481996,0.47828068027229487
262 263 51 13 50,65789,0.000553222564534763,12.364292338612836,3.7618668960628407,1.3654557673182217,0.4507681612180273,0.2277220974130704,0.7336902986289121,0.3434881616874714,0.4779373934310144
317 263 51 287 51 13,11428,0.00009609854941560554,23.596855807886854,4.1555948875218345,0.9717277758592283,0.27183605097897146,0.35730064827079994,0.8104804710654877,0.24444364686091977,0.4776188867145015
282 21 264 324 39 33,8792,0.00007393231068095939,23.407101054159146,4.374677415170023,0.75264524821104,0.245030342393237,0.35511164252214233,0.8532089166951842,0.18933219141808433,0.4770584457848719
51 33 39 12 277 21 264,15535,0.00013063449117705915,21.39470612832978,4.068772268658936,1.058550394722126,0.3032219007885412,0.3318967086421141,0.7935471464898805,0.26628437027349916,0.47646380917014686
262 33,93749,0.0007883394215228915,1.335626744502947,4.450273319062503,0.6770493443185598,0.48697279475377514,0.1004957069734868,0.8679526550661628,0.1703156119867864,0.4761978965029905
282 21 264 22 71,24357,0.0002048190731637998,13.789407963011143,4.399668357343977,0.7276543060370859,0.3491946234362588,0.24416219302609582,0.8580829891526165,0.1830455778260317,0.4761250869929092
262 263 51 13 50 63 39,15646,0.00013156789500844978,19.437605087465155,4.232032325543194,0.8952903378378682,0.3039497127370453,0.3093196435357299,0.8253883368347458,0.22521537473488598,0.4759855631705877
282 21 261 324 39 33,7776,0.00006538872245850093,22.900348149048654,4.48890552967493,0.6384171337061328,0.23247717533525786,0.34926575460289916,0.8754872326905311,0.16059745976040732,0.4759458828902862
271 263 51 13,95810,0.0008056704602300636,8.687376688395146,3.722522432139312,1.4048002312417505,0.48919577244273715,0.18530529710879326,0.7260168077045894,0.3533854852838369,0.47573897287706446
282 21 264 324 39 33 39,6864,0.00005771967476275082,26.265461999511206,4.252236044054382,0.8750866193266804,0.21972451180828484,0.3880856177095702,0.8293287400115307,0.22013301447338238,0.4752375435545068
262 12 51,86817,0.0007300479318003698,2.7121750298457794,4.348869757504275,0.778452905876788,0.4791200681474561,0.11637553106603163,0.848175557306655,0.1958242544356053,0.4751089830260419
262 12 51 13,75292,0.0006331337051627382,5.575223449622426,4.19407869032127,0.9332439730597932,0.46456039860905673,0.1494035808326757,0.8179861041855336,0.2347628274636844,0.47500055544492253
271 12 39,86553,0.0007278279443094948,3.6884486176081572,4.250055145869897,0.8772675175111657,0.47880874262871886,0.12763779698502417,0.8289033916713412,0.22068163181137765,0.4748300667601118
39 63 39 36 44 65 21,32874,0.0002764388968750977,23.34338170280366,3.195423677372663,1.9318989860083993,0.37984790594032497,0.35437657779423554,0.6232148603001191,0.48598017391160625,0.4745783481254227
267 21 71,72896,0.000612985636874342,4.2542650129014525,4.286595041752227,0.8407276216288355,0.4612544504919834,0.13416503974258395,0.8360298977021191,0.21148981325139338,0.4731888087420925
307 263 51 272 39 36 44,6070,0.000051042894203073644,25.898825460959664,4.321602460882531,0.8057202024985316,0.2071578912911261,0.383856108436201,0.8428575193340333,0.20268349793141233,0.47315615638845526
300,125351,0.001054082015032864,0.0,4.2294575471391616,0.897865116241901,0.5166686453978078,0.08508795267831301,0.8248861686325334,0.22586307488154897,0.47302876977264924
282 21 261 324 39 33 39,6336,0.00005327969978100076,25.82039504432423,4.275330436163107,0.8519922272179554,0.21154219703371982,0.3829513372538625,0.8338329215551779,0.21432348883323993,0.4726134294411938
262 12 39 281 39 13 71 21,11682,0.00009823444647122015,20.934391054762482,4.21621895783183,0.9111037055492325,0.2740832196251915,0.32658652630181567,0.8223041994106859,0.22919331729096928,0.4723529038691372
268 12,125057,0.0010516097562362078,0.6849433009778028,4.135219880933202,0.9921027824478605,0.5164286053318293,0.0929894402241608,0.8065066609649163,0.24956909561217788,0.47206720706854494
282 21 264 22 63 290 65 71,3379,0.000028414158074495197,31.608882722446562,4.225779044070135,0.9015436193109269,0.1472770270949172,0.4497271758271915,0.8241687370779918,0.22678842324301438,0.47172837219427644
282 21 264 22 63 290 65,5120,0.00004305430285333395,28.038549545619148,4.212559004565837,0.9147636588152249,0.18975887890391374,0.40853990807677204,0.8215903856902949,0.2301139993440151,0.4716484316383769
39 33 39 12 39 13,23955,0.000201438637666331,10.13413152179623,4.612261368886112,0.5150612944949506,0.3474933839001102,0.20199502205638303,0.8995457613437364,0.12956659705638712,0.4716481075178891
310,122323,0.0010286194312360095,0.0,4.200353639687516,0.9269690236935465,0.5141689821842355,0.08508795267831301,0.8192099299086663,0.23318432827382984,0.4715153584247448
282 21 261,128164,0.0010777366544716196,7.423962477743512,3.449206452685322,1.6781162106957406,0.518937299594773,0.17073058466696078,0.6727110188167569,0.42213967387747053,0.47118677873291887
267 21 264 12 39 263 51 13,11022,0.00009268447774403258,21.779852528116464,4.133768978061044,0.9935536853200189,0.26813826775436705,0.33633974717814796,0.8062236862103683,0.2499340784789049,0.4707879056785934
262 263 51 13 279,33443,0.00028122364264141544,12.096530153412258,4.114703802155106,1.0126188612259561,0.38160211948170725,0.2246332000275627,0.8025053370528052,0.25473003187477383,0.4706452026270154
262 12 39 13 39,112104,0.0009426874154433885,8.738436018275905,3.419309265546946,1.7080133978341165,0.505251125541645,0.18589431616858437,0.6668800639303208,0.4296604812852097,0.4706434549959511
39 63 39 266 44 65 21 286,4562,0.00003836205656580263,28.787725687037433,4.198441714275582,0.9288809491054808,0.1779628708077139,0.4171823839468364,0.8188370402862539,0.2336652839816216,0.4704290703860697
332 263 51,32758,0.00027546344782607683,7.923243103111156,4.517143801960835,0.6101788614202273,0.37948655664693975,0.1764902725675413,0.8809946435050642,0.153493961815713,0.4703664268027497
307 263 51 13 71 21 264,8759,0.00007365481224460001,20.989416159899843,4.378228237493278,0.7490944258877836,0.2446459303435662,0.3272212944385814,0.8539014462191432,0.18843896187415732,0.4700981566533606
267 21 261,97581,0.0008205628763146835,5.971358329874462,3.765422870259935,1.3618997931211276,0.4910680871546644,0.15397338218458176,0.7343838329411743,0.34259363616038907,0.46968375428828085
51 33 55 263 51 281 71 21,4909,0.00004127999466933913,28.02359760660645,4.182451850956007,0.9448708124250553,0.18545685002049933,0.4083674229094211,0.8157184802951356,0.23768762501143145,0.4696106800874923
262 21 12 39,43197,0.000363245453194427,4.950950602645092,4.511117251924567,0.6162054114564952,0.4077642525137038,0.14220198601663675,0.8798192639879315,0.15500997474181522,0.4686797982396334
39 33 39 12,59664,0.0005017171729377572,5.166633223868633,4.202583291272969,0.9247393721080934,0.44077840522161227,0.14469009494918741,0.8196447867982818,0.2326234467406294,0.4681363174331929
267 21 269 21,102753,0.0008640544494313717,10.874034443484472,3.1969784044050513,1.930344258976011,0.49634748968266057,0.2105305223124042,0.6235180842504063,0.485589073487072,0.4677891935094692
